,text,label
1,национализация украинский предприятие который объявить в донецкий народный республика и луганский народный республика сегодня это ответ на действие киев с цель выжить о это заявить пресссекретарить президент рф дмитрий песок мы являться свидетель тот что отторгнуть свой государство область попадать в ещё более тяжёлый положение быть в условие полный блокада с сторона экстремистский элемент поэтому конечно в какойтый степень можно понять тот действие руководство этот регион который отторгнуть свой государство речь идти о жизнь несколько миллион человек человек надо выживать сказать песок он не стать отвечать на вопрос о тот быть ли открытый российский рынок для национализировать в донбасс предприятие а также отметить что москва пытаться использовать свой влияние на лнр и днр для нормализация обстановка в регион однако оно не безгранично,1
2,март наступить украинский радикал блокада с днр и лнр не снять весь идти по план предприятие с сегодняшний день с нуль часы вводиться в внешний управление сообщить утром лидер днр александр захарченко в принцип к сегодняшний вечер мы весь закончить наш корреспондент отправиться на один из самый известный донецкий шахта имя засядько чтобы посмотреть как выглядеть процесс смена управление и послушать что думать о это сам работник предприятие фото дмитрий дурнеть шахта имя засядько предприятие в донецк особенный вопервое это самый глубокий и самый опасный шахта украина опережать по количество авария с массовый жертва весь прочий добывать она коксоваться уголь который потом идти на ясиновский и енакиевский коксохимзавод а потом кокс оттуда идти на донецкий металлургический завод весь предприятие до недавний время работать в украинский юрисдикция и выплачивать украинский налог руководить формально шахта совет арендатор поскольку акция попрежний числиться за трудовой коллектив председатель это совет старый народный депутат украина ефим леонид звягильский звягильский человек в донецк легендарный и пользоваться особый право депутат верховный рад регулярно заезжать на шахта здесь до последний время стоялый банкомат с гривна заработный плат шахтёр идти на карта два украинский банк пумба ринат ахметов и украинский дочка сбербанк россия как мы писать ранее подробно в материал автоматчик занять весь предприятие ахметов схема объявить глава днр и лнр новшество таков украинский собственник отводить сутки до март на то чтобы они переслать в налоговый юрисдикция непризнанный республика если это не происходить в случай в частность предприятие ринат ахметов на предприятие назначаюь новый внешний администрация внешний администратор быть один для днр это зао внешторгсервис для лнр организация с точно такой же название шахта засядько всегда охранять кроме собственный охрана вооружённый ополченец бригада восток никакой объявление с утро по шахта ещё не быть рассказывать мк шахтёр андрей но охрана усиленный как перед приезд звягильский ребята шутить раз фима два год охрана платить то пусть он вопрос и разруливать с национализация мы прогуливаться мимо шахтоуправление и фирменный магазин шахта имя засядько магазин заколотить в крыша прилететь снаряд и дом вокруг побить в шахта снаряд восемь тоже залететь буднично пояснять андрей фото дмитрий дурнеть больший проблема в переход под русский шахтёр не видеть человек жить один днём пояснять он у мы средний зарплата в проходка около тысяча гривна год назад при курс это быть рубль сейчас курс гривна упасть и это а на шахта калинин что под днр зарплата тысяча рубль весь человек стать туда перебираться главный семь накормить и если быть регулярно деньга платить и хорошо платить никто сильно не расстроиться но проблема конечно же есть к я вчера парень из наш бригада подходить продолжать андрей он в украинский красногоровка жить и сюда на неделя на работа приезжать спрашивать какой я печать поставить в трудовой при увольнение он не против двуглавый орёл просто зачесть ли он украина подземный стаж с такой печать да я и сам пенсионер зарегистрировать как переселенец у сват на украинский территория получать пенсия до сей пора а когда к он приходить проверка они показывать справка что я работать на украинск предприятие а теперь как с мой пенсия быть вы мой фамилия не писать чтоб пенсионный фонд не вычислить я на тот сторона ездить весь же хотя продолжать андрей есть ребята который радоваться больничный заплатить тут же как сейчас есть травма есть акт о травма есть больничный а выплата по больничный нет уже почти два год украинский соцстрах пояснять что он представитель травма в донецк не фиксировать и это понятно а местный орган говорят что никакой выплата в социальный фонд республика шахта имя засядько не делать поэтому и больничный не положить и с это тоже не поспорить у некоторый пачка неоплаченный больничный накопиться мочь теперь выплатить в донецк сейчас большой вопрос чем ответ весь ждать перемена и не знать какой они быть наблюдатель обнаружить кстати что по адрес артем где находиться согласно постановление совмин днр офис зао внешторгсервис к который перейти под внешний управление весь крупный промышленный актив донбасс никакой дом нет там есть один заметный объект памятник ленин местный юморист теперь утверждать что артем это адрес владимир илья а в постановление совмин после адрес указать данный юридический лицо иметь исключительный право управление указанный предприятие и учрежденияминерезидент так что в ближний день весь вопрос к ленин читать материал кремль отказаться считать отжим национализация украинский предприятие в донбасс,0
3,боевик национализировать предприятие ринат ахметов на донбасс в отместка за он отказ принимать участие в организовать виктор медведчук встреча на который обсуждать схема действие по донбассунапомнить в конец январь в москва по инициатива медведчук и в присутствие куратор лнрднр владислав сурков проходить встреча ключевой игрок бывший власть включая бывший глава миндоход александр клименко бывший глава мвд виталий захарченко александр янукович николай азаров андрей клюев якобы на этот встреча согласовываться действие бывший представитель власть по украина и там ждать и ахметов но он от участие отказалсякак уверять источник издание речь на встреча идти не о выборы а о схема действиймедведчук пытаться скоординировать разный сила и выработать план действие а ахмет в этот игра не стать играть вот он и мстить допускать собеседниктакж издание отмечать что если перехватить сбу разговор александр захарченко с некий гражданин россия из который следовать что весь завод мочь быть передать в управление менеджер сергей курченко правда то это уже два попытка курченко зайти на рынок энергетика днрсобеседник близкий к кабмина утверждать что в свет последний действие боевик вполне реалистично выглядеть недавно опубликовать журналист сергей головнёвый возможный проект создание холдинг метэнергосогласный документ на оккупировать территория донбасс быть создать единый энергохолдинг в который войти национализировать предприятие украинский бизнесмен в тот число и олигарх ринат ахметовавсего на этот актив согласно проект работать тысяча человек предполагаться что год работа такой холдинг обойтись в миллиард а доход он принести млрддлить это необходимый создание торговый дом который бы курировать минэнерго рф помощь от рф в сырьё достройка инфраструктура и рынок сбыт для некоторый продукциикто кома передавать такой план не ясно но очевидно что согласно он кремль хотеть свалить с себя тяжесть финансирование наоборот зарабатывать с этот территорийвесьма интересный и другой момент оператор национализация лидер боевик захарченко на запись говорить что совещание по это вопрос быть проходить в москва на улица краснопресненский в офис велеса то ли капитал то ли менеджмент принадлежащий курченкопо это адрес находиться офис российский инвестиционный компания велеса капитал согласно официальный данные она конечный бенефициар выступать российский бизнесмен дмитрий бугаенковелес капитал работать в украина с год она осуществлять брокерский и депозитарный обслуживание юридический и финансовый консалтинг услуга в область корпоративный финансы управление актив доверительный управление и тд,0
4,террористический группирование днр вечером март обстрелять новомихайловка расположить вблизи мариуполь как сообщить спикер сектор мариуполь александр киндсфатер боевик ошибочно решить что там располагаться сила украинский армия боевик обстреливать мирный населить пункт из разный оружие на протяжение час вчера вечером в в боевик так называть днр открыть артиллерийский огонь по мирный посёлок новомихайловка около тарамчук в сектор мариуполь обстрел вестись из артиллерия мм террорист выпустить снаряд заявить киндсфатер информировать е изз обстрел сильно пострадать несколько дом житель новомихайловка также террорист существенно подпортить один автомобиль к счастие жертва среди мирный житель не оказаться основной причина обстрел новомихайловка как передавать спикер стать неверный корректировка огонь боевик ктоть дать имя информация что там находиться вооружённый сила наш страна читать новость украина порошенко очень жёстко отреагировать на отжим украинский предприятие новомихайловка сесть расположить в марьинский район донецкий область согласно перепись население год количество население составлять человек вооружённый конфликт на донбасс длиться с апрель год сейчас боевик контролировать часть донецкий и луганский область новость украина более два год освещать трагический событие происходить на восток украина за последний сутки помимо новомихайловка боевик обстреливать и другой направление так на луганский направление из мм артиллерия и даже из танк террорист вели огонь по крымский и троицкий из миномёт пророссийский боевик обстреливать катериновка троицкий попасный и новоалександровка а из гранатомёт крупнокалиберный пулемёт и противотанковый ракетный комплекс крымский на донецкий направление вражеский танк обстрелять авдеевка из мм и мм миномёт гранатомёт и стрелковый оружие боевик обстрелять авдеевка шахта бутовка троицкий песок верхнеторецкий невельский опытный зайцевый луганскоечитать боевик обстрелять кп марьинка,2
5,аргумент тот же что и при нападение на крым и донбасс если чтоть не украсть то миллион погибнуть а если украсть человек быть хорошо в кремль считать некорректный сравнивать национализация предприятие в самопровозгласить днр и лнр с отжим рассказать журналист пресссекретарить президент дмитрий песок сообщать риа новость я не думать что слово отжим здесь применимый в принцип мы являться свидетель тот что отторгнуть свой государство область попадать в ещё более тяжёлый положение быть в условие полный блокада с сторона экстремистский элемент поэтому конечно в какойтый степень можно понять тот действие который предприниматься руководство этот регион который ещё раз повторять отторгнуть свой государство речь идти о жизнь несколько миллион человек поэтому безусловно человек надо выживать сказать песок,1
6,укртелек в связь с национализация украинский предприятие российский боевик дистанционно отключить свой оборудование на оккупировать территория крупный украинский оператор фиксировать телефонный связь укртелек с март год прекратить обслуживание абонент на территория контролировать террористический организация донецкий народный республика днр и луганский народный республика лнр в связь с решение главарь террорист о национализация работать в этот регион украинский предприятие в результат без телефонный связь и интернет остаться порядок тысяча житель как пояснить издание так называть министр связь террористический организация днр виктор яценко утром март год из киев начаться дистанционный отключение оборудование укртелеком в частность на аппаратура быть удалить операционный система и лицензия на оборудование полностью удалить конфигурация вечером март террорист удаться взять под контроль сеть оператор и восстановить телефонный связь правда пока только между так называть днр и лнр интернет на территория контролировать террористический организация на момент написание новость быть недоступный напомнить в связь с блокада украинский активист оккупировать территория глава самопровозгласить днр александрзахарченко ввести внешний управление на весь украинский предприятие расположить на оккупировать территорияхтема время вкремль заявить что можно понять захват завод боевик на донбасс на следующий день боевикиопубликовать список украинский предприятие на который ввести временной администрация или перейти под они управление а сегоднябоевик заявить что владелец у национализировать предприятие остаться тот же источник,2
7,боевик национализировать предприятие ринатаахметов на донбасс в отместка за он отказ принимать участие в организовать виктор медведчук встреча на который обсуждалисхема действие по донбасс как писать издание в конец январь в москва по инициатива медведчук и в присутствие куратор лнрднр владислав сурков проходить встреча ключевой игрок бывший власть включая бывший глава миндоход александр клименко бывший глава мвд виталий захарченко александр янукович николай азаров андрей клюев якобы на этот встреча согласовываться действие бывший представитель власть по украина и там ждать и ахметов но он от участие отказаться как уверять источник издание речь на встреча идти не о выборы а о схема действие медведчук пытаться скоординировать разный сила и выработать план действие а ахмет в этот игра не стать играть вот он и мстить допускать собеседник также издание отмечать что если перехватить сбу разговоралександр захарченкос некий гражданин россия из который следовать что весь завод мочь быть передать в управление менеджер сергей курченкоправда то это уже два попытка курченко зайти на рынок энергетика днр собеседник близкий к кабмина утверждать что в свет последний действие боевик вполне реалистично выглядеть недавно опубликовать журналист сергей головнёвый возможный проект создание холдинг метэнерго согласно документ на оккупировать территория донбасс быть создать единый энергохолдинг в который войти национализировать предприятие украинский бизнесмен в тот число и олигарх ринат ахметов всего на этот актив согласно проект работать тысяча человек предполагаться что год работа такой холдинг обойтись в миллиард а доход он принести миллиард для это необходимый создание торговый дом который бы курировать минэнерго рф помощь от рф в сырьё достройка инфраструктура и рынок сбыт для некоторый продукция кто кома передавать такой план не ясно но очевидно что согласно он кремль хотеть свалить с себя тяжесть финансирование наоборот зарабатывать с этот территория весьма интересный и другой момент оператор национализация лидер боевик захарченко на запись говорить что совещание по это вопрос быть проходить в москва на улица краснопресненский в офис велеса то ли капитал то ли менеджмент принадлежащий курченко по это адрес находиться офис российский инвестиционный компания велеса капитал согласно официальный данные она конечный бенефициар выступать российский бизнесмен дмитрий бугаенко велеса капитал работать в украина с год она осуществлять брокерский и депозитарный обслуживание юридический и финансовый консалтинг услуга в область корпоративный финансы управление актив доверительный управление и тд запись сми объяснить почему россия отбирать предприятие у ахметов впервые появиться,0
8,признание россия документ самопровозгласить боевик тн днр и лнр в ордло и так называть национализация предприятие на неподконтрольный территория свидетельствовать о целенаправленный эскалация конфликт так считать министр иностранный дело украина павел климкина передавать интерфаксукраина весь этот шаг признание нелегальный документ выдать конечно так называть национализация сейчас весь этот шаг это логика осознанный эскалация сказать пклимкина на совместный прессконференция с главый мид германия в четверг в киев как сообщаться февраль президент рф владимир путин подписать указ о признание в российский федерация документ и регистрационный знак транспортный средство выдать гражданин украина и лицо без гражданство постоянно проживать на территория отдельный район донецкий и луганский область украина руководство украина осудить такой шаг рф заявить что он противоречить логика минский соглашение,2
9,группа скм ринат ахметов заявить что продолжить платить налог в украинский бюджет после национализация предприятие в днр о это сказать в заявление опубликовать март на сайт группа группа скм всегда работать и продолжать работать исключительно в рамка украинский законодательство в тот число наш предприятие на нкт и никакой давление не заставить мы изменить юрисдикция свой актив сказать в сообщение также в немой подчёркиваться что скм считать частный собственность суверенный а требование о перерегистрация свой предприятие и оплата налог самопровозгласить днр и лнр неприемлемый внешний управление на предприятие с украинский юрисдикция днр и лнр начать вводить март по слово лидер днр александр захарченко под национализация подпадать около предприятие также он рассказать о случай саботаж при изъятие документ в ряд компания в лнр игорь плотницкий поручить до март составить план переориентация экономика на россия изз национализация читать также за неделя ринат ахмет потерять миллион доллар актив ахметов уменьшаться ещё февраль он состояние оцениваться в миллиард доллар а к февраль на миллион маленький итого в среднее он терять около миллион доллар в день в прошлое же год актив ринат ахметов оцениваться в миллиард доллар такой образ за год бизнесмен обеднелый более чем в два раз,2
10,таллинн мара в кремль считать некорректный называть национализация предприятие в самопровозгласить днр и лнр отжим действие руководство этот регион можно понять речь идти о жизнь несколько миллион человек заявить пресссекретарить президент рф дмитрий песок власть самопровозгласить республика донбасс решить с март ввести внешний управление на предприятие украинский юрисдикция в донбасс в ответ на транспортный блокада донбасс я не думать что слово отжим здесь применимый и не думать что быть бы корректно называть это отжим в принцип мы являться свидетель тот что отторгнуть свой государство область попадать в ещё более тяжёлый положение быть в условие полный блокада с сторона экстремистский элемент сказать песок дэн левизахарченко готовый вернуть донбасс военный путём кремль критиковать по он слово тот действие который предприниматься руководство этот регион который отторгнуть свой государство в какойтый мера можно понять речь идти о жизнь несколько миллион человек поэтому безусловно человек надо выживать сказать песок что касаться сам предприятие судьба и так далее понимать этот предприятие не иметь никакой отношение к российский федерация добавить он отвечать на вопрос о тот рассматривать ли россия и быть ли приниматься решение о открытие российский рынок для предприятие украинский юрисдикция на который непризнанный республика ввести внешний управление песок сказать что пока не мочь ответить на вопрос так как не располагать этот информация но безусловно этот ситуация вызывать очень глубокий сожаление и сильный обеспокоенность в свой очередь министр иностранный дело рф сергей лавров заявить что рф не видеть какихлибо проблема или противоречие с минский соглашение по украина в введение внешний управление на предприятие украинский юрисдикция в донбасс в москва понимать что у руководство самопровозгласить лнр и днр не быть другой выход ни транспортный блокада ни экономический блокада не допускаться минский соглашение напротив минский соглашение предполагать восстановление единый экономический транспортный инфраструктурный пространство ещё до тот как быть достигнуть цель политический урегулирование сказать лавров неспособность этот блокада преодолеть несмотря на решение который правительство принять конечно же поставить житель донбасс в очень тяжёлый положение они и так существовать в очень стеснённый рамка мягко говорить в такой условие руководство провозгласить донецкий и луганский народный республика едва ли иметь какойлибо иной выход для тот чтобы обеспечить дальнейший функционирование предприятие поэтому я не видеть никакой проблема в действие днр и лнр с точка зрение приверженность минский договорённость отметить лавров россия не командовать в лнр и днр в конец январь группа бывший участник военный операция в донбасс в число который депутат верховный рад украина заблокировать на ряд участок грузовой железнодорожный сообщение с неподконтрольный киев территория донбасс они заявить что по они мнение любой торговля с самопровозгласить республика являться незаконный а весь осуществлять товарный перевозка являться контрабанда игорь масловва оон не стать называть признание рф паспорт днр и лнр помеха минск блокада привести к перебой с поставка уголь антрацитовый группа который добываться на неподконтрольный киев территория донбасс в связь с это власть украина быть вынудить ввести чрезвычайный мера в энергетика с цель экономия ресурс изз транспортный блокада остановить производство ряд крупный предприятие донбасс по оба линия соприкосновение среди они енакиевский металлургический завод на территория днр и краснодонуголь в лнр который входить в группа метинвест принадлежащий украинский бизнесмен ринат ахметов поздний вооружённый человек заблокировать работа гуманитарный штаб ринат ахметов на неподконтрольный киев территория донбасс март на сайт штаб появиться сообщение что блокада поставка гуманитарный помощь в донбасс противоречить норма международный право и мочь привести к гуманитарный катастрофа комментировать этот ситуация пресссекретарить президент рф дмитрий песок заявить что в москва слышать о это и призывать весь сторона предпринять весь возможный действие для разблокирование ситуация снижение напряжённость на линия соприкосновение это позиция который россия придерживаться достаточно последовательно добавить песок при это он подчеркнуть что российский сторона хоть и иметь влияние на представитель самопровозгласить днр и лнр но они не руководить ещё раз повторять безусловно российский сторона иметь определённый влияние на представитель донбасс но она они не руководить и руководитель этот район принимать решение который они считать целесообразный для обеспечение жизнь в этот регион после тот как они поставить в такой положение можно выразить только сожаление в этот связь сказать пресссекретарить президент рф в днр национализация завершиться к вечер власть самопровозгласить донецкий народный республика ввести внешний управление на почти предприятие украинский юрисдикция в донбасс изз транспортный блокада заявить март глава днр александр захарченко порядок предприятие за малое исключение практически на весь ввести внешний управление сказать захарченко по он слово процедура введение внешний управление завершиться к вечер среда весь идти по план предприятие с сегодняшний день с вводиться в внешний управление к сегодняшний вечер мы весь закончить говориться в заявление захарченко песок ответить на вопрос откуда у ополчение днр танк представитель донбасс объяснять что решение о введение внешний управление на украинский предприятие вынужденный первоочередной задача возобновить они работа и сохранить рабочий место на это по мнение глава днр александр захарченко понадобиться около два месяц за короткий срок прийтись перестроить промышленность поменять рынок сбыт основный задача обеспечить бесперебойный работа предприятие зарплата и работа трудящийся этот предприятие сказать захарченко в минпромторг днр подчеркнуть что сомнение в тот что удаться переориентировать предприятие с украинский рынок на рынок российский федерация и другой страна нет несмотря на трудность с политический признание республика наш предприятие довольно успешно сотрудничать с страна ближний и дальний зарубежье по суть наш производитель начать процесс уход от украинский рынок сбыт в польза другой страна уже более два год назад определённый опыт в это и у государство и бизнескруг есть отметить ио министр промышленность и торговля днр алексей грановский февраль самопровозгласить донецкий и луганский народный область выпустить совместный заявление в который говориться что они перестать поставлять киев уголь при продолжение железнодорожный блокада как отмечаться республика быть перестраивать весь производственный процесс и ориентировать они на рынок россия и другой страна власть украина в апрель год начать военный операция против самопровозгласить лнр и днр который заявить о независимость после госпереворот на украина вопрос урегулирование ситуация в донбасс обсуждаться в тот число в ход встреча в минск контактный группа киев сша и ес ранее неоднократно обвинять москва в вмешательство в дело украина россия это отрицать и называть подобный обвинение неприемлемый москва не раз заявлять что не являться стороной внутриукраинский конфликт и непричастный к событие на юговосток заинтересовать в тот чтобы украина преодолеть политический и экономический кризис в москва подчёркивать что россия не являться субъект минский соглашение по украина и мочь только оказывать давление на конфликтовать сторона,1
